halley,quad,lag1,lag2,lag3,rec1,rec2,rec3
-4.966159171448936e-6,4.1154893160033623e-7,0.00048566623763979244,4.1154893160033623e-7,-9.107433529553788e-7,0.00048566623763979244,-1.0526718867920337e-5,2.069224032119621e-7
0.0,0.0,5.983187856273275e-8,0.0,0.0,5.983187856273275e-8,-2.220446049250313e-16,0.0
-1.543295599106779,-3.941304972010068,8.881784197001252e-16,-1.543295599106779,-1.543295599106779,8.881784197001252e-16,0.0,-1.543295599106779
-1.543295599106779,-1.543295599106779,0.0,-1.543295599106779,-1.543295599106779,0.0,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
