δz,z,err
1.5432960106557105,1.5432960106557105,4.1154893160033623e-7
1.543295599106779,1.543295599106779,0.0
-2.398009372903289,-2.398009372903289,-3.941304972010068
0,0,-1.543295599106779
0,0,-1.543295599106779
0,0,-1.543295599106779
0,0,-1.543295599106779
0,0,-1.543295599106779
0,0,-1.543295599106779
0,0,-1.543295599106779
