halley,quad,lag1,lag2,lag3,rec1,rec2,rec3
0.5450884415711124,0.5450884008932211,0.5450884416975135,0.5450884415711124,0.5450884415711119,0.5450884416975135,0.5450884415711124,-0.9768895558438335
0.010182724881826033,0.004945737281348395,0.05581240947890209,0.004945738940530298,0.006477465248443615,0.05581240947890209,0.01407512694359836,-0.10336329205931527
6.570166877217787e-8,-2.4337531989715444e-10,0.0007687687062609694,-2.434381585203482e-10,3.8439931238087865e-9,0.0007687687062609694,3.495147316012748e-7,6.882384046891232e-6
0.0,2.220446049250313e-16,1.498953137168968e-7,0.0,0.0,1.498953137168968e-7,0.0,0.0
-1.543295599106779,0.0,5.995204332975845e-15,-1.543295599106779,-1.543295599106779,5.995204332975845e-15,-1.543295599106779,-1.543295599106779
-1.543295599106779,-3.941304972010068,0.0,-1.543295599106779,-1.543295599106779,0.0,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779,-1.543295599106779
